Adjetivo,Freq_Dependencia,Freq_Ventana,Diferencia_Abs,Ratio_Ventana/Dependencia,Porcentaje_Dependencia,Porcentaje_Ventana
colorista,2,3,1,1.50,0.05,0.03
haendelián,2,3,1,1.50,0.05,0.03
celebrado,0,5,5,inf,0.00,0.05
mágico,2,3,1,1.50,0.05,0.03
notorio,0,5,5,inf,0.00,0.05
ciudadano,2,3,1,1.50,0.05,0.03
público,0,5,5,inf,0.00,0.05
modal,2,3,1,1.50,0.05,0.03
aristocrático,2,3,1,1.50,0.05,0.03
burgués,2,3,1,1.50,0.05,0.03
airoso,0,5,5,inf,0.00,0.05
negroide,2,3,1,1.50,0.05,0.03
griego,2,3,1,1.50,0.05,0.03
superficial,1,4,3,4.00,0.02,0.04
nativo,2,3,1,1.50,0.05,0.03
inferior,0,5,5,inf,0.00,0.05
heroico,0,5,5,inf,0.00,0.05
histórico,0,5,5,inf,0.00,0.05
juvenil,2,3,1,1.50,0.05,0.03
decorado,0,5,5,inf,0.00,0.05
católico,2,3,1,1.50,0.05,0.03
narrativo,1,3,2,3.00,0.02,0.03
campesino,1,3,2,3.00,0.02,0.03
criollo,2,2,0,1.00,0.05,0.02
partidario,0,4,4,inf,0.00,0.04
potente,0,4,4,inf,0.00,0.04
cargado,2,2,0,1.00,0.05,0.02
predestinado,0,4,4,inf,0.00,0.04
cósmico,1,3,2,3.00,0.02,0.03
banal,1,3,2,3.00,0.02,0.03
exterior,0,4,4,inf,0.00,0.04
meteorológico,0,4,4,inf,0.00,0.04
desplomado,0,4,4,inf,0.00,0.04
refinado,1,3,2,3.00,0.02,0.03
complejo,0,4,4,inf,0.00,0.04
polaco,2,2,0,1.00,0.05,0.02
vivido,2,2,0,1.00,0.05,0.02
derivado,1,3,2,3.00,0.02,0.03
eminente,0,4,4,inf,0.00,0.04
empapado,0,4,4,inf,0.00,0.04
dado,0,4,4,inf,0.00,0.04
saturado,0,4,4,inf,0.00,0.04
antillán,2,2,0,1.00,0.05,0.02
decidido,0,4,4,inf,0.00,0.04
emocionado,3,1,-2,0.33,0.07,0.01
dispuesto,0,4,4,inf,0.00,0.04
intrínseco,1,3,2,3.00,0.02,0.03
frágil,2,2,0,1.00,0.05,0.02
calín,2,2,0,1.00,0.05,0.02
gregorián,2,2,0,1.00,0.05,0.02
tercero,0,4,4,inf,0.00,0.04
igual,0,4,4,inf,0.00,0.04
numeroso,0,4,4,inf,0.00,0.04
filarmónico,0,4,4,inf,0.00,0.04
grave,0,4,4,inf,0.00,0.04
sobrio,2,2,0,1.00,0.05,0.02
pomposo,2,2,0,1.00,0.05,0.02
opuesto,1,3,2,3.00,0.02,0.03
gris,2,2,0,1.00,0.05,0.02
atormentado,0,4,4,inf,0.00,0.04
recto,2,2,0,1.00,0.05,0.02
sincopado,2,2,0,1.00,0.05,0.02
corriente,0,4,4,inf,0.00,0.04
imperceptible,0,4,4,inf,0.00,0.04
afrancesado,0,4,4,inf,0.00,0.04
cordial,2,2,0,1.00,0.05,0.02
mundial,0,4,4,inf,0.00,0.04
calificadamente,1,3,2,3.00,0.02,0.03
harto,1,3,2,3.00,0.02,0.03
aficionado,0,4,4,inf,0.00,0.04
modernista,2,2,0,1.00,0.05,0.02
propagandista,0,4,4,inf,0.00,0.04
decimotercero,0,4,4,inf,0.00,0.04
sublim,0,4,4,inf,0.00,0.04
total,0,4,4,inf,0.00,0.04
guerrero,0,4,4,inf,0.00,0.04
fragante,2,2,0,1.00,0.05,0.02
estético,0,4,4,inf,0.00,0.04
máximo,0,4,4,inf,0.00,0.04
espontáneo,1,3,2,3.00,0.02,0.03
reputado,0,4,4,inf,0.00,0.04
seguido,0,4,4,inf,0.00,0.04
supremo,1,3,2,3.00,0.02,0.03
inteligente,1,3,2,3.00,0.02,0.03
neto,1,3,2,3.00,0.02,0.03
existente,1,3,2,3.00,0.02,0.03
expresado,1,3,2,3.00,0.02,0.03
interno,1,3,2,3.00,0.02,0.03
valiente,0,4,4,inf,0.00,0.04
negroafricán,2,2,0,1.00,0.05,0.02
sevillano,0,4,4,inf,0.00,0.04
leve,2,2,0,1.00,0.05,0.02
editado,0,4,4,inf,0.00,0.04
indígena,2,2,0,1.00,0.05,0.02
rudimentario,1,3,2,3.00,0.02,0.03
exacto,0,4,4,inf,0.00,0.04
indio,2,2,0,1.00,0.05,0.02
perdido,0,4,4,inf,0.00,0.04
seco,0,4,4,inf,0.00,0.04
madrileñísimo,2,2,0,1.00,0.05,0.02
significado,0,4,4,inf,0.00,0.04
dulcísimo,2,2,0,1.00,0.05,0.02
buena,0,4,4,inf,0.00,0.04
débil,0,4,4,inf,0.00,0.04
estimable,2,2,0,1.00,0.05,0.02
